Field_1,Grouping_sku_name_new,volume_bottle_per_POS_month_imp,Brand_Group_Final,Producer,Material,Flavor,Multiserve_Flag,Sugar_Level,Category,Size_Group,Price_Lit_Group
1,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES ARIZONA ARIZONA BOTELLA 501 - 750,150,ARIZONA,ARIZONA,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,501 - 750,11 a 18
2,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES ARIZONA ARIZONA LATA 501 - 750,1493.333333,ARIZONA,ARIZONA,LATA,0,PERSONAL,0,BEBIDAS REFRESCANTES,501 - 750,11 a 18
3,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES BELTICOS FRUTI QUEKO BOTELLA 501 - 750,4168.333333,FRUTI QUEKO,BELTICOS,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,501 - 750,6 a 10
4,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA CIEL SABORES BOTELLA 251 - 350,1520,CIEL SABORES,COCA COLA,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,251 - 350,1 a 5
5,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA FRIOLIN BOTELLA 2001 O MAS,1905,FRIOLIN,COCA COLA,BOTELLA,0,FAMILIAR,0,BEBIDAS REFRESCANTES,2001 O MAS,19 a 207
6,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA FRUTSI BOTELLA 181 - 250,1466.666667,FRUTSI,COCA COLA,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,1 a 5
7,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA PULPY BOTELLA 351 - 500,1218.333333,PULPY,COCA COLA,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,351 - 500,6 a 10
8,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 1001 - 1500,6178.333333,TROPIFRUT,COCA COLA,BOLSA,0,PERSONAL,0,BEBIDAS REFRESCANTES,1001 - 1500,6 a 10
9,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 2001 O MAS,12282.5,TROPIFRUT,COCA COLA,BOLSA,0,FAMILIAR,0,BEBIDAS REFRESCANTES,2001 O MAS,19 a 207
10,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 351 - 500,1880,TROPIFRUT,COCA COLA,BOLSA,0,PERSONAL,0,BEBIDAS REFRESCANTES,351 - 500,1 a 5
11,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOTELLA 2001 O MAS,11543.33333,TROPIFRUT,COCA COLA,BOTELLA,0,FAMILIAR,0,BEBIDAS REFRESCANTES,2001 O MAS,19 a 207
12,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA VALLE FRUT PULPOSO CARTON 751 - 1000,336.666667,VALLE FRUT,COCA COLA,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,751 - 1000,11 a 18
13,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT CON JUGO BOTELLA 251 - 350,1643.333333,BONAFONT,DANONE,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,251 - 350,1 a 5
14,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 1001 - 1500,2933.333333,BONAFONT,DANONE,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,1001 - 1500,11 a 18
15,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 351 - 500,646.666667,BONAFONT,DANONE,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,351 - 500,6 a 10
16,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 751 - 1000,2988.333333,BONAFONT,DANONE,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,751 - 1000,11 a 18
17,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES GRUPO GEPP E-PURITA BOTELLA 251 - 350,563.333333,E-PURA,GRUPO GEPP,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,251 - 350,1 a 5
18,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX AGUAS FRESCAS BOTELLA 351 - 500,856.666667,AGUAS FRESCAS,JUMEX,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,351 - 500,6 a 10
19,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX BIDA CARTON 181 - 250,611.666667,BIDA,JUMEX,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,1 a 5
20,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX BIDA CARTON 351 - 500,1585,BIDA,JUMEX,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,351 - 500,6 a 10
21,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX JUMEX CAPRI SUN BOLSA 181 - 250,343.333333,JUMEX,JUMEX,BOLSA,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,1 a 5
22,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX PAU PAU BOTELLA 181 - 250,855,PAU PAU,JUMEX,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,1 a 5
23,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES NESTLE AGUITAS BOTELLA 251 - 350,558.333333,AGUITAS,NESTLE,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,251 - 350,1 a 5
24,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES NESTLE PUREZA VITAL KIDS BOTELLA 251 - 350,1038.333333,PUREZA VITAL KIDS,NESTLE,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,251 - 350,1 a 5
25,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES OTROS FABRICANTES MI DIAL BOLSA 1001 - 1500,690,MI DIAL,OTROS FABRICANTES,BOLSA,0,PERSONAL,0,BEBIDAS REFRESCANTES,1001 - 1500,6 a 10
26,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES OTROS FABRICANTES OTRAS MARCAS BOTELLA 181 - 250,360,OTRAS MARCAS,OTROS FABRICANTES,BOTELLA,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,6 a 10
27,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES OTROS FABRICANTES OTRAS MARCAS CARTON 181 - 250,223.333333,OTRAS MARCAS,OTROS FABRICANTES,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,1 a 5
28,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES OTROS FABRICANTES OTRAS MARCAS LATA 251 - 350,195,OTRAS MARCAS,OTROS FABRICANTES,LATA,0,PERSONAL,0,BEBIDAS REFRESCANTES,251 - 350,19 a 207
29,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PASCUAL BOING CARTON 181 - 250,365,BOING,PASCUAL,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,1 a 5
30,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PASCUAL BOING CARTON 351 - 500,541.666667,BOING,PASCUAL,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,351 - 500,6 a 10
31,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PEPSI LIVSMART CARTON 181 - 250,483.333333,LIVSMART,PEPSI,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,1 a 5
32,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PEPSI LIVSMART CARTON 351 - 500,120,LIVSMART,PEPSI,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,351 - 500,6 a 10
33,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES PEPSI LIVSMART LATA 251 - 350,645,LIVSMART,PEPSI,LATA,0,PERSONAL,0,BEBIDAS REFRESCANTES,251 - 350,6 a 10
34,JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES VALLE REDONDO BOB ESPONJA CARTON 181 - 250,50,BOB ESPONJA,VALLE REDONDO,CARTON,0,PERSONAL,0,BEBIDAS REFRESCANTES,181 - 250,1 a 5
35,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES CAMPBELLS V8 SPLASH BOTELLA 251 - 350,413.333333,V8 SPLASH,CAMPBELLS,BOTELLA,0,PERSONAL,0,JUGOS+NECTARES,251 - 350,11 a 18
36,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES CAMPBELLS V8 SPLASH BOTELLA 351 - 500,715,V8 SPLASH,CAMPBELLS,BOTELLA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,11 a 18
37,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE BOTELLA 181 - 250,258.333333,DEL VALLE,COCA COLA,BOTELLA,0,PERSONAL,0,JUGOS+NECTARES,181 - 250,6 a 10
38,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE BOTELLA 351 - 500,1151.666667,DEL VALLE,COCA COLA,BOTELLA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,6 a 10
39,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE CARTON 181 - 250,653.333333,DEL VALLE,COCA COLA,CARTON,0,PERSONAL,0,JUGOS+NECTARES,181 - 250,1 a 5
40,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE CARTON 751 - 1000,1785,DEL VALLE,COCA COLA,CARTON,0,PERSONAL,0,JUGOS+NECTARES,751 - 1000,11 a 18
41,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE LATA 251 - 350,613.333333,DEL VALLE,COCA COLA,LATA,0,PERSONAL,0,JUGOS+NECTARES,251 - 350,6 a 10
42,JUG+NECT+BEB.REF+NAR+SOYAS JUGOS+NECTARES COCA COLA DEL VALLE LATA 351 - 500,1168.333333,DEL VALLE,COCA COLA,LATA,0,PERSONAL,0,JUGOS+NECTARES,351 - 500,11 a 18
