Attribute,Attribute_Level,Level_Weight,Level_Avg_Weight
Brand_Group_Final,Brand_Group_FinalAGUAFIEL,0.072175153,0.015198075
Category,CategoryAGUA_EMBOTELLADA,0.769454054,0.0607923
Flavor,Flavor0,0,0
Material,MaterialPLASTICO,0,0
Multiserve_Flag,Multiserve_FlagFAMILIARES,0.561297584,0.091188449
Price_Lit_Group,Price_Lit_Group13_A_23,0.574968569,0.0607923
Producer,ProducerAJEMEX,0.11296293,0.0202641
Size_Group,Size_Group0_A_250_ML,0.063078633,0.016579718
Sugar_Level,Sugar_Level0,0,0
Brand_Group_Final,Brand_Group_FinalBE_LIGHT,0.073884957,0.015558112
Brand_Group_Final,Brand_Group_FinalBIG_AQUA_VITAL,0.086321236,0.018176846
Brand_Group_Final,Brand_Group_FinalBONAFONT,0.104848017,0.022078069
Brand_Group_Final,Brand_Group_FinalBONAFONT_LEVITE_CLASICA,0.110101591,0.023184325
Brand_Group_Final,Brand_Group_FinalCIEL,0.10686108,0.022501964
Brand_Group_Final,Brand_Group_FinalCRISTAL,0.098083486,0.020653647
Brand_Group_Final,Brand_Group_FinalDEMAS_MARCAS_IMPORTADAS,0.06287625,0.013239985
Brand_Group_Final,Brand_Group_FinalDEMAS_MARCAS_NACIONALES,0.06811902,0.014343966
Brand_Group_Final,Brand_Group_FinalE_PURA,0.09705543,0.020437167
Brand_Group_Final,Brand_Group_FinalGLACEAU,0.043508226,0.009161619
Brand_Group_Final,Brand_Group_FinalPUREZA_VITAL,0.076165554,0.016038342
Category,CategoryAGUA_SABORIZADA,0,0
Category,CategoryAGUA_VITAMINADA,0.230545946,0.018214756
Multiserve_Flag,Multiserve_FlagPERSONALES,0.438702416,0.071271629
Price_Lit_Group,Price_Lit_Group2_A_6,0.121975287,0.012896632
Price_Lit_Group,Price_Lit_Group7_A_12,0.303056143,0.032042586
Producer,ProducerCIA_EXPORT_DE_AGUAS_MIN_,0.090822583,0.016292406
Producer,ProducerCOCA_COLA_CO_,0.080204765,0.014387705
Producer,ProducerDANONE_INTERNACIONAL,0.107046124,0.019202701
Producer,ProducerDEMAS_FABRICANTES,0.084474239,0.015153594
Producer,ProducerINDUSTRIA_REFRESQUERA_PENINSUL,0.209421736,0.037567572
Producer,ProducerMEXICANA_DE_BEBIDAS,0.088236321,0.015828463
Producer,ProducerNESTLE,0.097068048,0.017412762
Producer,ProducerPEPSI-COLA_CORP,0.129763255,0.023277862
Size_Group,Size_Group1000_A_1499_ML,0.146961415,0.038627642
Size_Group,Size_Group11000_A_11999_ML,0.058449616,0.015363018
Size_Group,Size_Group1500_A_1999_ML,0.142958606,0.037575535
Size_Group,Size_Group2000_A_2499_ML,0.085361572,0.022436612
Size_Group,Size_Group251_A_350_ML,0.065275345,0.017157106
Size_Group,Size_Group351_A_499ML,0.04177299,0.010979699
Size_Group,Size_Group500_A_599_ML,0.126333122,0.033205659
Size_Group,Size_Group5000_A_5999_ML,0.070743086,0.018594259
Size_Group,Size_Group600_A_699_ML,0.122209735,0.032121859
Size_Group,Size_Group6000_A_6999_ML,0.07685588,0.020200958
