Attribute,Attribute_Level,Level_Weight,Level_Avg_Weight
Brand_Group_Final,Brand_Group_FinalADES,0.032609456,0.004759831
Category,CategoryBEBIDAS_REFRESCANTES,0.237787001,0.035698736
Flavor,Flavor0,0,0
Material,MaterialBOLSA,0.221765935,0.035698736
Multiserve_Flag,Multiserve_FlagFAMILIAR,0.741679664,0.071397472
Price_Lit_Group,Price_Lit_Group1_a_5,0.270978481,0.035698736
Producer,ProducerAJEMEX,0.064177853,0.009519663
Size_Group,Size_Group0_-_180,0.095238074,0.015866105
Sugar_Level,Sugar_Level0,0,0
Brand_Group_Final,Brand_Group_FinalAGUAS_FRESCAS,0.038424169,0.005608575
Brand_Group_Final,Brand_Group_FinalAGUITAS,0.0330507,0.004824238
Brand_Group_Final,Brand_Group_FinalARIZONA,0.033323781,0.004864098
Brand_Group_Final,Brand_Group_FinalBEBERE_FRUT,0.027231034,0.003974771
Brand_Group_Final,Brand_Group_FinalBIDA,0.040698743,0.005940582
Brand_Group_Final,Brand_Group_FinalBIG_CITRUS,0.033389042,0.004873624
Brand_Group_Final,Brand_Group_FinalBOB_ESPONJA,0.03347788,0.004886591
Brand_Group_Final,Brand_Group_FinalBOING,0.032494236,0.004743013
Brand_Group_Final,Brand_Group_FinalBONAFONT,0.037899606,0.005532007
Brand_Group_Final,Brand_Group_FinalCIEL_SABORES,0.035569574,0.005191904
Brand_Group_Final,Brand_Group_FinalDEL_VALLE,0.023683939,0.00345702
Brand_Group_Final,Brand_Group_FinalE-PURA,0.034770032,0.005075199
Brand_Group_Final,Brand_Group_FinalFRIOLIN,0,0
Brand_Group_Final,Brand_Group_FinalFRUTI_QUEKO,0.043545548,0.006356116
Brand_Group_Final,Brand_Group_FinalFRUTSI,0.033873394,0.004944322
Brand_Group_Final,Brand_Group_FinalJUMEX,0.03334027,0.004866505
Brand_Group_Final,Brand_Group_FinalLALA_AQUA_FRUT,0.028379201,0.004142363
Brand_Group_Final,Brand_Group_FinalLIVSMART,0.03184645,0.00464846
Brand_Group_Final,Brand_Group_FinalMI_DIAL,0.027436057,0.004004698
Brand_Group_Final,Brand_Group_FinalNUTRI_JUGO,0.030683628,0.004478728
Brand_Group_Final,Brand_Group_FinalOTRAS_MARCAS,0.033578819,0.004901324
Brand_Group_Final,Brand_Group_FinalPAU_PAU,0.039576643,0.005776795
Brand_Group_Final,Brand_Group_FinalPULPY,0.030948414,0.004517378
Brand_Group_Final,Brand_Group_FinalPUREZA_VITAL_KIDS,0.036453913,0.005320987
Brand_Group_Final,Brand_Group_FinalSONRISA_PREMIUM,0.031083597,0.00453711
Brand_Group_Final,Brand_Group_FinalTROPIFRUT,0.061630838,0.008995931
Brand_Group_Final,Brand_Group_FinalV8_SPLASH,0.034693304,0.005064
Brand_Group_Final,Brand_Group_FinalVALLE_FRUT,0.035594434,0.005195533
Brand_Group_Final,Brand_Group_FinalVIGOR,0.030713299,0.004483059
Category,CategoryJUGOS+NECTARES,0.263664157,0.039583649
Category,CategoryNARANJADAS,0.261274988,0.039224965
Category,CategorySOYAS_JUGO,0.237273854,0.035621698
Material,MaterialBOTELLA,0.249625235,0.040183383
Material,MaterialCARTON,0.249768014,0.040206367
Material,MaterialLATA,0.278840816,0.044886356
Multiserve_Flag,Multiserve_FlagPERSONAL,0.258320336,0.024867096
Price_Lit_Group,Price_Lit_Group11_a_18,0.239163245,0.031507393
Price_Lit_Group,Price_Lit_Group19_a_207,0.205552664,0.027079532
Price_Lit_Group,Price_Lit_Group6_a_10,0.284305609,0.037454454
Producer,ProducerARIZONA,0.064049415,0.009500611
Producer,ProducerBELTICOS,0.084166618,0.012484647
Producer,ProducerCAMPBELLS,0.066744738,0.009900416
Producer,ProducerCOCA_COLA,0.078671229,0.011669502
Producer,ProducerDANONE,0.073054982,0.01083643
Producer,ProducerGRUPO_GEPP,0.066895745,0.009922815
Producer,ProducerJUMEX,0.058911792,0.008738535
Producer,ProducerNESTLE,0.07020975,0.010414389
Producer,ProducerOTROS_FABRICANTES,0.064551349,0.009575065
Producer,ProducerPASCUAL,0.062416808,0.009258443
Producer,ProducerPASTEURIZADORA_LA_LAGUNA,0.058853396,0.008729873
Producer,ProducerPEPSI,0.061141917,0.009069335
Producer,ProducerUNILEVER,0.066513844,0.009866166
Producer,ProducerVALLE_REDONDO,0.059640565,0.008846636
Size_Group,Size_Group1001_-_1500,0.119324659,0.019878789
Size_Group,Size_Group1501_-_2000,0.149825741,0.02496009
Size_Group,Size_Group181_-_250,0.088372536,0.014722347
Size_Group,Size_Group2001_O_MAS,0.157305586,0.026206189
Size_Group,Size_Group251_-_350,0.084523098,0.014081053
Size_Group,Size_Group351_-_500,0.087088973,0.014508512
Size_Group,Size_Group501_-_750,0.103228539,0.01719727
Size_Group,Size_Group751_-_1000,0.115092793,0.019173785
