Grouping_sku_name_new,Total_Volume,Normalised_Volume,Avg__No__of_Months_,No__of_States,Average_No__of_POS,Avg_Price,Total_Value,manufacturer,avg_number_of_POS_in_stock
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA AJEMEX BIG AQUA VITAL PERSONALES 1000 A 1499 ML PLASTICO,13540,4058.33,6,1,2.669908417,7.157333333,575410,COMPETITOR,4.031561709
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA CIA.EXPORT DE AGUAS MIN. AGUAFIEL PERSONALES 1000 A 1499 ML PLASTICO,11720,1933.33,6,1,1.478869578,6.698,370210,COMPETITOR,2.425346108
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA CIA.EXPORT DE AGUAS MIN. AGUAFIEL PERSONALES 500 A 599 ML PLASTICO,24480,1490,6,1,1.779263987,4.059166667,882710,COMPETITOR,2.508762221
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DANONE INTERNACIONAL BONAFONT FAMILIARES 11000 A 11999 ML PLASTICO,5970,2690,6,1,7.118074185,23.73097222,73520,COMPETITOR,2.135422256
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DANONE INTERNACIONAL BONAFONT FAMILIARES 6000 A 6999 ML PLASTICO,466040,3476.67,6,1,2.227111943,20.88466667,9472580,COMPETITOR,25.63405847
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DANONE INTERNACIONAL BONAFONT PERSONALES 0 A 250 ML PLASTICO,42390,175,6,1,1.784993698,2.985777778,2528340,COMPETITOR,2.873839854
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DANONE INTERNACIONAL BONAFONT PERSONALES 1000 A 1499 ML PLASTICO,738710,4618.33,6,1,1.924095569,8.748650794,35188200,COMPETITOR,40.9062718
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DANONE INTERNACIONAL BONAFONT PERSONALES 1500 A 1999 ML PLASTICO,327740,2833.33,6,1,2.324100074,12.01766667,15243840,COMPETITOR,40.02100327
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DANONE INTERNACIONAL BONAFONT PERSONALES 251 A 350 ML PLASTICO,43920,558.33,6,1,0.881589839,4.703587963,3554990,COMPETITOR,8.383919368
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DANONE INTERNACIONAL BONAFONT PERSONALES 600 A 699 ML PLASTICO,185100,4008.33,6,1,2.097707046,7.066666667,12538440,COMPETITOR,32.64032164
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DEMAS FABRICANTES DEMAS MARCAS IMPORTADAS PERSONALES 500 A 599 ML PLASTICO,2690,772,6,1,7.452039615,6.757888889,190090,COMPETITOR,5.589029711
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DEMAS FABRICANTES DEMAS MARCAS NACIONALES PERSONALES 1500 A 1999 ML PLASTICO,38240,4120,6,1,2.419804735,8.871416667,1511230,COMPETITOR,3.290934439
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DEMAS FABRICANTES DEMAS MARCAS NACIONALES PERSONALES 500 A 599 ML PLASTICO,3520,355,6,1,1.405606533,8.567281746,243210,COMPETITOR,1.869456689
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA DEMAS FABRICANTES DEMAS MARCAS NACIONALES PERSONALES 600 A 699 ML PLASTICO,8530,1510,6,1,4.423796603,10.59625,577500,COMPETITOR,9.02454507
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA INDUSTRIA REFRESQUERA PENINSUL CRISTAL FAMILIARES 5000 A 5999 ML PLASTICO,624240,5810,6,1,2.639906759,20.38433333,14933720,BEPENSA,42.26490721
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA INDUSTRIA REFRESQUERA PENINSUL CRISTAL PERSONALES 1000 A 1499 ML PLASTICO,1914070,7960,6,1,2.075878974,8.409,89256070,BEPENSA,74.62784913
AGUA EMBOTELLADA NAT+SAB AGUA EMBOTELLADA INDUSTRIA REFRESQUERA PENINSUL CRISTAL PERSONALES 1500 A 1999 ML PLASTICO,607070,6020,6,1,2.82456232,11.85466667,27566080,BEPENSA,71.20721608
