Grouping_sku_name_new,Total_Volume,Normalised_Volume,Avg__No__of_Months_,No__of_States,Average_No__of_POS,Avg_Price,Total_Value,manufacturer,avg_number_of_POS_in_stock
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES ARIZONA ARIZONA BOTELLA 501 - 750,70,150,6,1,97.22222222,11.99333333,8890,COMPETITOR,7.777777778
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES ARIZONA ARIZONA LATA 501 - 750,121010,1493.333333,6,1,3.816636796,11.31083333,11275940,COMPETITOR,50.57043754
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES BELTICOS FRUTI QUEKO BOTELLA 501 - 750,1540,4168.333333,6,1,9.048072291,7.918333333,130500,COMPETITOR,5.157401206
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA CIEL SABORES BOTELLA 251 - 350,97870,1520,6,1,4.65845686,5.858333333,11109940,BEPENSA,77.19063018
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA FRIOLIN BOTELLA 2001 O MAS,1660,1905,6,1,2.905531712,23.39763889,58500,BEPENSA,0.755438245
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA FRUTSI BOTELLA 181 - 250,74750,1466.666667,6,1,3.473221209,4.38,7809470,BEPENSA,55.01582395
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA PULPY BOTELLA 351 - 500,50280,1218.333333,6,1,5.536966852,10.18805556,7490230,BEPENSA,75.74570654
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 1001 - 1500,680920,6178.333333,6,1,19.19744031,9.71281746,28938410,BEPENSA,289.1134511
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 2001 O MAS,159560,12282.5,6,1,7.830612217,18.8235,5835100,BEPENSA,33.43671417
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOLSA 351 - 500,41580,1880,6,1,12.89614232,4.524444444,2765880,BEPENSA,65.77032585
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA TROPIFRUT BOTELLA 2001 O MAS,84150,11543.33333,6,1,6.391647336,23.95222222,3052460,BEPENSA,16.61828307
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES COCA COLA VALLE FRUT PULPOSO CARTON 751 - 1000,12930,336.666667,6,1,2.841143181,11.16527778,736710,BEPENSA,3.835543294
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT CON JUGO BOTELLA 251 - 350,100990,1643.333333,6,1,2.741939285,5.754444444,10895610,COMPETITOR,34.76779013
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 1001 - 1500,99460,2933.333333,6,1,3.171765281,15.31194444,5888830,COMPETITOR,22.77327472
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 351 - 500,12610,646.666667,6,1,2.755725177,8.859166667,1378850,COMPETITOR,15.81786252
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES DANONE BONAFONT JUIZZY BOTELLA 751 - 1000,106420,2988.333333,6,1,3.455755356,11.6025,7621280,COMPETITOR,31.65471906
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES GRUPO GEPP E-PURITA BOTELLA 251 - 350,18510,563.333333,6,1,2.147730437,5.526111111,1648480,COMPETITOR,6.013645224
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX AGUAS FRESCAS BOTELLA 351 - 500,17420,856.666667,6,1,5.918659543,10.21361111,2254280,COMPETITOR,38.94477979
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX BIDA CARTON 181 - 250,39810,611.666667,6,1,5.757652717,3.81,4578760,COMPETITOR,49.34308379
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX BIDA CARTON 351 - 500,131680,1585,6,1,5.804276687,6.829444444,11140380,COMPETITOR,73.48214286
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX JUMEX CAPRI SUN BOLSA 181 - 250,1210,343.333333,6,1,7.889160554,5.052222222,192410,COMPETITOR,5.916870416
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES JUMEX PAU PAU BOTELLA 181 - 250,107860,855,6,1,3.356704745,3.983888889,9270970,COMPETITOR,55.3184942
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES NESTLE AGUITAS BOTELLA 251 - 350,102230,558.333333,6,1,2.185240038,5.44,8570040,COMPETITOR,14.57555106
JUG+NECT+BEB.REF+NAR+SOYAS BEBIDAS REFRESCANTES NESTLE PUREZA VITAL KIDS BOTELLA 251 - 350,2410,1038.333333,6,1,6.777925898,5.984555556,250200,COMPETITOR,7.726835524
